Fecha,Hora,Consumo (Wh),Precio (€/kWh),Coste por hora (€)
2018-12-11,14,0,0.149964229,0
2018-12-11,15,0,0.152494056,0
2018-12-11,16,0,0.153001759,0
2018-12-11,17,0,0.154150834,0
2018-12-11,18,0,0.154888962,0
2018-12-11,19,37,0.155645655,0.005758889235
2018-12-11,20,10,0.153525725,0.00153525725
2018-12-11,21,0,0.153058998,0
2018-12-11,22,0,0.082516206,0
2018-12-11,23,0,0.081166223,0
,,,,
2018-12-12,0,0,0.082501199,0
2018-12-12,1,0,0.075164973,0
2018-12-12,2,0,0.072634202,0
2018-12-12,3,0,0.069501875,0
2018-12-12,4,0,0.069490055,0
2018-12-12,5,0,0.071116921,0
2018-12-12,6,0,0.086125816,0
2018-12-12,7,0,0.087498003,0
2018-12-12,8,2,0.088081025,1.76E-04
2018-12-12,9,31,0.087849977,0.002723349287
2018-12-12,10,15,0.087343272,0.00131014908
2018-12-12,11,45,0.086903311,0.003910648995
2018-12-12,12,6,0.153248773,9.19E-04
2018-12-12,13,25,0.15336033,0.00383400825
2018-12-12,14,3,0.153073424,4.59E-04
2018-12-12,15,0,0.153449474,0
2018-12-12,16,0,0.153097834,0
2018-12-12,17,0,0.153121848,0
2018-12-12,18,0,0.152952885,0
2018-12-12,19,0,0.152919863,0
2018-12-12,20,0,0.153235365,0
2018-12-12,21,0,0.151960659,0
2018-12-12,22,0,0.081460968,0
2018-12-12,23,0,0.074711388,0
,,,,
2018-12-13,0,0,0.074004121,0
2018-12-13,1,0,0.069719498,0
2018-12-13,2,0,0.066345519,0
2018-12-13,3,0,0.065142132,0
2018-12-13,4,0,0.064498944,0
2018-12-13,5,0,0.065502883,0
2018-12-13,6,0,0.069634259,0
2018-12-13,7,8,0.08075943,6.46E-04
2018-12-13,8,121,0.083577561,0.01011288488
2018-12-13,9,41,0.084181856,0.003451456096
2018-12-13,10,28,0.083906627,0.002349385556
2018-12-13,11,10,0.082992315,8.30E-04
2018-12-13,12,63,0.149904773,0.009444000699
2018-12-13,13,61,0.149652066,0.009128776026
2018-12-13,14,0,0.147426126,0
2018-12-13,15,0,0.144804793,0
2018-12-13,16,0,0.143152083,0
2018-12-13,17,0,0.146006329,0
2018-12-13,18,0,0.149758238,0
2018-12-13,19,60,0.151130602,0.00906783612
2018-12-13,20,28,0.152280985,0.00426386758
2018-12-13,21,0,0.153470566,0
2018-12-13,22,0,0.084428523,0
2018-12-13,23,0,0.077655769,0
,,,,
2018-12-14,0,0,0.070588975,0
2018-12-14,1,0,0.069423422,0
2018-12-14,2,0,0.067241304,0
2018-12-14,3,0,0.067054735,0
2018-12-14,4,0,0.067235887,0
2018-12-14,5,0,0.06885681,0
2018-12-14,6,0,0.071225373,0
2018-12-14,7,13,0.083307726,0.001083000438
2018-12-14,8,132,0.084081377,0.01109874176
2018-12-14,9,106,0.083941533,0.008897802498
2018-12-14,10,81,0.083644056,0.006775168536
2018-12-14,11,107,0.082886826,0.008868890382
2018-12-14,12,28,0.148145331,0.004148069268
2018-12-14,13,0,0.147824696,0
2018-12-14,14,0,0.145747604,0
2018-12-14,15,0,0.145714836,0
2018-12-14,16,0,0.147847908,0
2018-12-14,17,0,0.151286494,0
2018-12-14,18,60,0.152408412,0.00914450472
2018-12-14,19,64,0.153044648,0.009794857472
2018-12-14,20,0,0.153849347,0
2018-12-14,21,0,0.154294748,0
2018-12-14,22,0,0.086120968,0
2018-12-14,23,0,0.084725195,0
,,,,
2018-12-15,0,0,0.086279325,0
2018-12-15,1,0,0.080749343,0
2018-12-15,2,0,0.077551577,0
2018-12-15,3,0,0.071673527,0
2018-12-15,4,0,0.070068015,0
2018-12-15,5,0,0.069457844,0
2018-12-15,6,0,0.071130638,0
2018-12-15,7,0,0.076144288,0
2018-12-15,8,0,0.076056258,0
2018-12-15,9,0,0.082850003,0
2018-12-15,10,0,0.0839466,0
2018-12-15,11,0,0.082705111,0
2018-12-15,12,0,0.149600512,0
2018-12-15,13,0,0.14904912,0
2018-12-15,14,0,0.143329714,0
2018-12-15,15,0,0.144819962,0
2018-12-15,16,0,0.145478139,0
2018-12-15,17,0,0.149652274,0
2018-12-15,18,0,0.153927427,0
2018-12-15,19,0,0.154682832,0
2018-12-15,20,0,0.147124434,0
2018-12-15,21,0,0.146223844,0
2018-12-15,22,0,0.079978522,0
2018-12-15,23,0,0.078969695,0
,,,,
2018-12-16,0,0,0.074400148,0
2018-12-16,1,0,0.070221748,0
2018-12-16,2,0,0.068315986,0
2018-12-16,3,0,0.065518692,0
2018-12-16,4,0,0.064680792,0
2018-12-16,5,0,0.06539705,0
2018-12-16,6,0,0.06825387,0
2018-12-16,7,0,0.070115917,0
2018-12-16,8,0,0.070087602,0
2018-12-16,9,0,0.075270966,0
2018-12-16,10,0,0.076333446,0
2018-12-16,11,5,0.076965189,3.85E-04
2018-12-16,12,6,0.143373653,8.60E-04
2018-12-16,13,1,0.143361423,1.43E-04
2018-12-16,14,1,0.143299834,1.43E-04
2018-12-16,15,0,0.140321998,0
2018-12-16,16,0,0.144305021,0
2018-12-16,17,2,0.149734143,2.99E-04
