Fecha,Hora,Consumo (Wh),Precio (€/kWh),Coste por hora (€)
2019-02-08,14,276,0.129791635,0.03582249126
2019-02-08,15,791,0.12813486,0.1013546743
2019-02-08,16,61,0.128776505,0.007855366805
2019-02-08,17,45,0.131015152,0.00589568184
2019-02-08,18,79,0.136555288,0.01078786775
2019-02-08,19,177,0.145182117,0.02569723471
2019-02-08,20,638,0.14621478,0.09328502964
2019-02-08,21,737,0.146757988,0.1081606372
2019-02-08,22,1502,0.074758462,0.1122872099
2019-02-08,23,1397,0.06953357,0.09713839729
,,,,
2019-02-09,0,836,0.078616749,0.06572360216
2019-02-09,1,151,0.067370565,0.01017295532
2019-02-09,2,49,0.065009548,0.003185467852
2019-02-09,3,48,0.06464316,0.00310287168
2019-02-09,4,49,0.064716421,0.003171104629
2019-02-09,5,281,0.06502918,0.01827319958
2019-02-09,6,132,0.068145471,0.008995202172
2019-02-09,7,128,0.074146111,0.009490702208
2019-02-09,8,117,0.075975169,0.008889094773
2019-02-09,9,708,0.079989697,0.05663270548
2019-02-09,10,165,0.080741773,0.01332239254
2019-02-09,11,152,0.078897173,0.0119923703
2019-02-09,12,51,0.14497178,0.00739356078
2019-02-09,13,38,0.14254778,0.00541681564
2019-02-09,14,38,0.136729411,0.005195717618
2019-02-09,15,43,0.129535126,0.005570010418
2019-02-09,16,43,0.128556149,0.005527914407
2019-02-09,17,38,0.129238572,0.004911065736
2019-02-09,18,33,0.135775077,0.004480577541
2019-02-09,19,44,0.146445524,0.006443603056
2019-02-09,20,44,0.147645334,0.006496394696
2019-02-09,21,32,0.145996944,0.004671902208
2019-02-09,22,527,0.072799237,0.0383651979
2019-02-09,23,334,0.064800609,0.02164340341
,,,,
2019-02-10,0,93,0.059100211,0.005496319623
2019-02-10,1,112,0.048196488,0.005398006656
2019-02-10,2,63,0.040256039,0.002536130457
2019-02-10,3,37,0.031709709,0.001173259233
2019-02-10,4,38,0.029455964,0.001119326632
2019-02-10,5,36,0.033293735,0.00119857446
2019-02-10,6,41,0.030071166,0.001232917806
2019-02-10,7,41,0.031404772,0.001287595652
2019-02-10,8,40,0.040022674,0.00160090696
2019-02-10,9,121,0.0523674,0.0063364554
2019-02-10,10,419,0.054882495,0.02299576541
2019-02-10,11,64,0.055985562,0.003583075968
2019-02-10,12,73,0.118782358,0.008671112134
2019-02-10,13,75,0.117905622,0.00884292165
2019-02-10,14,285,0.116596565,0.03323002103
2019-02-10,15,54,0.112743726,0.006088161204
2019-02-10,16,70,0.114616825,0.00802317775
2019-02-10,17,90,0.121447853,0.01093030677
2019-02-10,18,130,0.133776577,0.01739095501
2019-02-10,19,98,0.147551105,0.01446000829
2019-02-10,20,111,0.152064589,0.01687916938
2019-02-10,21,226,0.153364961,0.03466048119
2019-02-10,22,196,0.083717562,0.01640864215
2019-02-10,23,792,0.077164901,0.06111460159
,,,,
2019-02-11,0,704,0.062244221,0.04381993158
2019-02-11,1,124,0.059477267,0.007375181108
2019-02-11,2,63,0.058351121,0.003676120623
2019-02-11,3,44,0.058896931,0.002591464964
2019-02-11,4,42,0.05908253,0.00248146626
2019-02-11,5,42,0.059540022,0.002500680924
2019-02-11,6,41,0.06606434,0.00270863794
2019-02-11,7,44,0.075614644,0.003327044336
2019-02-11,8,40,0.07934219,0.0031736876
2019-02-11,9,160,0.079914799,0.01278636784
2019-02-11,10,39,0.079913917,0.003116642763
2019-02-11,11,40,0.077150294,0.00308601176
2019-02-11,12,39,0.141090429,0.005502526731
2019-02-11,13,41,0.140355376,0.005754570416
2019-02-11,14,42,0.138126326,0.005801305692
2019-02-11,15,42,0.137531222,0.005776311324
